MIDAS,Lake,Town,Station,Min_Sec,Min_Sec_Bottom,Mean_Sec,Mean_Sec_Bottom,Max_Sec,Max_Sec_Bottom,Num_Months_Secchi,Min_Col,Mean_Col,Max_Col,Min_Chla,Mean_Chla,Max_Chla,Ph,Alkalinity,Conductivity,Tphos_Ec,Tphos_Sg,Tphos_Bg,Tphos_Pg,Tsi_Sec,Tsi_Chl,Tsi_Tpec,Tsi_Tppg
3374,Peabody Pond,"Bridgton, Sebago",3,5.7,NA,7.1,NA,8.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3376,Cold Rain Pond,Naples,1,2.8,NA,4.8,*,6.4,NA,32,7,24,40,1.8,5,11.4,6.64,7.4,26,11,NA,33,16,51,45,42,NA
3382,Tricky Pond,Naples,1,5,NA,10,*,14.7,NA,39,0,8,30,0.5,1.8,6.7,6.72,7.6,38,5,1,11,10,17,27,27,NA
3382,Tricky Pond,Naples,2,8.2,NA,10.4,NA,12.4,NA,6,NA,NA,NA,0.9,1.2,1.5,7.02,3.8,29,7,NA,10,NA,NA,NA,NA,NA
3388,Parker Pond,Casco,1,2.5,*,5.6,*,6.8,*,29,4,7,11,1.4,4.5,13,6.56,9.3,47,9,8,10,NA,48,NA,NA,NA
3388,Parker Pond,Casco,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
3390,Coffee Pond,Casco,1,5,NA,8.6,NA,14,NA,30,3,4,4,0.6,1.5,4.5,6.86,7.4,44,11,5,16,NA,28,30,35,NA
3392,Thomas Pond,"Casco, Raymond",1,3.5,NA,6.3,NA,8.7,NA,35,6,8,10,2.1,3.3,7.2,6.86,11.5,56,8,7,17,NA,37,NA,NA,NA
3396,Adams Pond,Bridgton,1,3.8,NA,7.3,*,10.7,*,30,1,11,27,0.5,2.9,8.9,6.02,9.9,36,8,NA,40,33,30,38,32,NA
3414,Papoose Pond,Waterford,1,1.6,NA,3.5,*,5.1,*,30,8,30,70,1.1,5.8,22,6.53,7.9,33,14,12,32,14,69,61,50,47
3414,Papoose Pond,Waterford,2,3.2,*,3.9,*,4.8,*,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA
3416,Keoka Lake,Waterford,1,3,NA,5.6,NA,7.9,NA,42,1,18,35,0.9,3.9,18,6.71,8.1,37,9,8,18,14,42,44,36,43
3416,Keoka Lake,Waterford,2,4.3,NA,5.8,NA,7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA
3417,Bog Pond,Waterford,1,1.3,*,1.5,*,1.5,*,9,33,53,76,2.3,3.8,5.3,6.5,4.3,13,12,15,NA,NA,NA,NA,NA,NA
3418,Long (McWain) Pond,Waterford,1,2.2,NA,5.8,NA,9.3,NA,41,1,17,35,1,3,15.2,6.48,5.8,28,7,7,11,10,42,39,32,46
3418,Long (McWain) Pond,Waterford,2,4.8,NA,5.3,NA,5.8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3420,Bear Pond,Waterford,1,3,NA,5.5,NA,7.6,NA,39,3,20,40,1,3.7,11,6.7,8.1,35,9,5,15,11,44,45,41,42
3424,Moose Pond,Waterford,1,4.5,NA,7.3,NA,9.9,NA,31,1,12,28,0.5,2.3,4.7,6.67,6.2,22,6,NA,15,10,29,33,29,NA
3424,Moose Pond,Waterford,4,3.1,NA,3.5,NA,3.8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3446,Pleasant Lake,"Casco, Otisfield",1,4,NA,8.5,NA,11.8,NA,40,1,4,6,0.7,2.4,3.9,6.79,8.6,42,5,5,11,NA,24,25,NA,NA
3446,Pleasant Lake,"Casco, Otisfield",2,4.7,NA,7,NA,9.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
3448,Island Pond,"Harrison, Waterford",1,2.9,NA,5.7,NA,8.9,NA,32,1,18,38,0.5,3.3,13.5,6.59,7.6,39,8,NA,13,11,41,42,33,NA
3452,Crystal (Anonymous) Lake,Harrison,1,2.3,NA,5.6,NA,10,NA,43,5,20,46,1,2.7,9.5,6.74,8,45,7,NA,10,8,42,38,35,30
3454,Highland Lake,Bridgton,1,1.5,NA,6.7,NA,9.4,NA,45,1,15,35,1,2.8,10.3,6.65,7.3,32,7,NA,13,11,33,38,33,38
3454,Highland Lake,Bridgton,2,6,NA,6.2,NA,6.4,NA,2,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3454,Highland Lake,Bridgton,3,5.5,NA,6.1,NA,6.7,NA,2,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
3456,Woods Pond,Bridgton,1,2.5,NA,4.8,*,7.5,*,44,5,32,68,1.3,3.2,10.6,6.43,5.6,26,9,4,12,7,NA,40,NA,NA
3458,Otter Pond,Bridgton,1,2.2,NA,3.9,*,5.6,NA,30,24,43,75,2,3.9,11.8,6.59,10.7,40,12,NA,18,18,NA,54,NA,NA
3492,Speck Pond #2,Norway,1,5.5,NA,5.5,NA,5.5,NA,1,NA,NA,NA,NA,NA,NA,6.9,8,42,NA,NA,NA,NA,NA,NA,NA,NA
3494,Hutchinson Pond,Albany Twp,1,4.5,NA,5,NA,5.7,NA,2,NA,NA,NA,2.7,2.7,2.7,NA,NA,NA,7,NA,22,NA,NA,NA,NA,NA
3690,Raymond (Little Rattlesnake) Pond,Raymond,1,3.3,NA,6.1,NA,8.5,NA,37,8,11,13,1.8,3.5,8.6,7.15,11.3,48,7,7,19,NA,38,48,42,NA
