MIDAS,Lake,Town,StationName,Date,Year,Secchi_Depth,Station
5786,Sebago Lake,"Gray, Windham",Big Bay,2017-09-25T00:00:00Z,2017,11.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2017-10-17T00:00:00Z,2017,11,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2018-05-17T00:00:00Z,2018,9.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2018-06-27T00:00:00Z,2018,11.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2018-07-20T00:00:00Z,2018,14.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2018-08-24T00:00:00Z,2018,8.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2018-09-13T00:00:00Z,2018,10.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-04-28T00:00:00Z,2000,10.199999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-05-16T00:00:00Z,2000,8,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-06-14T00:00:00Z,2000,7.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-07-19T00:00:00Z,2000,10,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-08-22T00:00:00Z,2000,11.5,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-09-27T00:00:00Z,2000,10.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-10-17T00:00:00Z,2000,10.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2000-11-09T00:00:00Z,2000,6.199999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2001-05-22T00:00:00Z,2001,8.699999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2001-06-27T00:00:00Z,2001,10,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2001-07-25T00:00:00Z,2001,8.699999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2001-08-28T00:00:00Z,2001,8.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2002-06-18T00:00:00Z,2002,5.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2002-07-31T00:00:00Z,2002,13.699999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2002-08-26T00:00:00Z,2002,10.699999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2002-09-19T00:00:00Z,2002,10.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2002-10-15T00:00:00Z,2002,11.300000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2002-11-20T00:00:00Z,2002,13.300000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2003-05-28T00:00:00Z,2003,9.300000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2003-06-17T00:00:00Z,2003,8,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2003-07-29T00:00:00Z,2003,11.100000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2003-08-20T00:00:00Z,2003,10.100000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2003-09-30T00:00:00Z,2003,9.399999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2003-10-31T00:00:00Z,2003,8,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2004-05-12T00:00:00Z,2004,10.100000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2004-06-23T00:00:00Z,2004,11.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2004-07-27T00:00:00Z,2004,12.600000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2004-08-17T00:00:00Z,2004,10.100000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2004-09-30T00:00:00Z,2004,11.600000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2004-10-26T00:00:00Z,2004,10.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2005-05-18T00:00:00Z,2005,8.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2005-06-30T00:00:00Z,2005,7,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2005-07-20T00:00:00Z,2005,8.600000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2005-09-02T00:00:00Z,2005,6.5,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2005-09-28T00:00:00Z,2005,10.5,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2005-10-31T00:00:00Z,2005,9.300000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2006-05-25T00:00:00Z,2006,7.900000095367432,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2006-06-27T00:00:00Z,2006,7.699999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2006-07-18T00:00:00Z,2006,8.300000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2006-08-16T00:00:00Z,2006,6.199999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2006-09-27T00:00:00Z,2006,9.300000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2006-10-31T00:00:00Z,2006,8.5,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2007-05-25T00:00:00Z,2007,7.900000095367432,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2007-06-19T00:00:00Z,2007,8.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2007-07-25T00:00:00Z,2007,8.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2007-08-16T00:00:00Z,2007,8.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2007-09-14T00:00:00Z,2007,9.100000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2007-10-26T00:00:00Z,2007,8.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2008-05-21T00:00:00Z,2008,7.199999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2008-06-11T00:00:00Z,2008,10.600000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2008-07-22T00:00:00Z,2008,10,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2008-08-27T00:00:00Z,2008,8.899999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2008-09-16T00:00:00Z,2008,7.699999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2008-10-24T00:00:00Z,2008,9.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2009-05-12T00:00:00Z,2009,7.900000095367432,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2009-06-25T00:00:00Z,2009,9,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2009-07-28T00:00:00Z,2009,7.650000095367432,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2009-08-06T00:00:00Z,2009,6.800000190734863,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2009-09-23T00:00:00Z,2009,8.600000381469727,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2009-10-20T00:00:00Z,2009,8.949999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2010-05-21T00:00:00Z,2010,9.699999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2010-06-25T00:00:00Z,2010,9.199999809265137,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2010-07-23T00:00:00Z,2010,9.399999618530273,102
5786,Sebago Lake,"Gray, Windham",Crooked-Songo,2010-08-10T00:00:00Z,2010,8.5,102
